Name,Security Type,Symbol,Issue Period,Issue Size No. of Shares,Price Band,Face Value,Market Lot
Barbeque-Nation Hospitality Limited,Equity,BARBEQUE,24 Mar 2021 to 26 Mar 2021,"90,71,927",498.00-500.00,5,30
Eki Energy Services Limited,Equity,EKI,24 Mar 2021 to 26 Mar 2021,"18,24,000",100.00-102.00,10,1200
Nazara Technologies Limited,Equity,NAZARA,17 Mar 2021 to 19 Mar 2021,"29,20,997",1100.00-1101.00,4,13
Suryoday Small Finance Bank Limited,Equity,SURYODAY,17 Mar 2021 to 19 Mar 2021,"1,35,15,150",303.00-305.00,10,49
Kalyan Jewellers India Limited,Equity,KALYAN,16 Mar 2021 to 18 Mar 2021,"9,57,09,301",86.00-87.00,10,172
Craftsman Automation Limited,Equity,CRAFTSMAN,15 Mar 2021 to 17 Mar 2021,"38,69,714",1488.00-1490.00,5,10
Laxmi Organic Industries Ltd,Equity,LXCHEM,15 Mar 2021 to 17 Mar 2021,"3,25,58,138",129.00-130.00,2,115
Anupam Rasayan India Limited,Equity,ANURAS,12 Mar 2021 to 16 Mar 2021,"97,01,809",553.00-555.00,10,27
Easy Trip Planners Ltd,Equity,EASEMYTRIP,08 Mar 2021 to 10 Mar 2021,"1,50,80,644",186.00-187.00,2,80
Mtar Technologies Ltd,Equity,MTAR,03 Mar 2021 to 05 Mar 2021,"72,60,694",574.00-575.00,10,26
Heranba Industries Ltd,Equity,HERANBA,23 Feb 2021 to 25 Feb 2021,"69,81,417",626.00-627.00,10,23
Railtel Corporation Of India Limited,Equity,RAILTEL,16 Feb 2021 to 18 Feb 2021,"6,11,95,923",93.00-94.00,10,155
Nureca Limited,Equity,NURECA,15 Feb 2021 to 17 Feb 2021,"14,01,595",396.00-400.00,10,35
Stove Kraft Limited,Equity,STOVEKRAFT,25 Jan 2021 to 28 Jan 2021,"58,94,642",384.00-385.00,10,38
Home First Finance Company India Ltd,Equity,HOMEFIRST,21 Jan 2021 to 25 Jan 2021,"1,56,20,948",517.00-518.00,2,28
Indigo Paints Ltd,Equity,INDIGOPNTS,20 Jan 2021 to 22 Jan 2021,"55,18,402",1488.00-1490.00,10,10
Indian Railway Finance Corporation Ltd,Equity,IRFC,18 Jan 2021 to 20 Jan 2021,"1,24,75,05,993",25.00-26.00,10,575
