Symbol,Issue Size No. of Shares,Price Band,Market Lot
DEPL,"1,00,00,000",183.00-185.00,80
GRSE,"2,92,10,760",114.00-118.00,120
AAVAS,"1,47,85,027",818.00-821.00,120
INNOVATIVE,"30,66,000",36.00-40.00,18
MIL,"34,04,400",36.00-40.00,3000
IRCON,"34,04,400",181.00-188.00,600
CREDITACC,"99,05,157",470.00-475.00,30
CREDITACC,"1,88,29,684",418.00-422.00,35
HDFCAMC,"1,88,04,290",1095.00-1100.00,13
TCNS,"1,09,99,828",714.00-716.00,13
VARROC,"1,41,85,212",965.00-967.00,20
FINEORG,"53,65,497",965.00-967.00,15
RITES,"53,65,497",780.00-783.00,19
AFFORDABLE,"2,52,00,000",180.00-185.00,80
AFFORDABLE,"26,81,600",83.00-85.00,1600
INNOVATORS,"37,63,200",71.00-72.00,1600
INDOSTAR,"2,25,75,438",570.00-572.00,1600
LEMONTREE,"12,98,35,580",54.00-56.00,26
ISEC,"4,42,25,343",54.00-56.00,265
MISHRA,"4,42,25,343",519.00-520.00,28
BBPL,"4,87,08,400",87.00-90.00,150
BBPL,"53,16,000",60.00-63.00,2000
KARDA,"43,00,000",175.00-180.00,80
SANDHAR,"1,08,72,661",327.00-332.00,80
HAL,"3,41,07,525",1215.00-1240.00,45
BANDHANBNK,"8,34,96,347",1215.00-1240.00,12
BDL,"8,34,96,347",370.00-375.00,40
HGINFRA,"2,24,51,953",413.00-428.00,35
HGINFRA,"1,21,37,070",263.00-270.00,55
ASTERDM,"3,73,70,415",180.00-190.00,78
GSL,"44,32,174",1470.00-1480.00,78
AMBER,"49,27,351",855.00-859.00,10
NEWGEN,"1,22,12,821",855.00-859.00,17
APOLLO,"1,22,12,821",240.00-245.00,61
ASTRON,"41,44,955",270.00-275.00,50
ASTRON,"1,40,00,000",45.00-50.00,280
FSC,"68,49,200",660.00-664.00,22
SHALBY,"1,45,21,686",245.00-248.00,22
AMBITION,"30,00,000",40.00-42.00,60
HDFCLIFE,"21,97,59,218",40.00-42.00,3000
KHADIM,"21,97,59,218",275.00-290.00,50
NIACL,"72,45,233",745.00-750.00,20
NIACL,"12,00,00,000",770.00-800.00,18
MAHLOG,"1,35,70,143",425.00-429.00,34
RNAM,"4,28,40,000",247.00-252.00,34
GICRE,"12,47,00,000",855.00-912.00,59
IEX,"52,75,889",855.00-912.00,16
MASFIN,"52,75,889",1645.00-1650.00,9
GODREJAGRO,"71,24,910",456.00-459.00,32
GODREJAGRO,"1,80,27,464",450.00-460.00,32
SIDDH,"31,08,000",30.00-35.00,4000
DIAMONDYD,"36,27,518",930.00-938.00,4000
SBILIFE,"8,82,00,000",685.00-700.00,15
ICICIGI,"6,16,66,740",685.00-700.00,21
SAGAR,"6,16,66,740",651.00-661.00,22
CAPACITE,"33,81,000",40.00-45.00,3000
CAPACITE,"1,14,28,572",245.00-250.00,60
MATRIMONY,"28,11,280",983.00-985.00,15
BRNL,"2,93,00,000",195.00-205.00,15
DIXON,"23,76,557",1760.00-1766.00,73
APEX,"62,10,000",1760.00-1766.00,8
CSL,"62,10,000",171.00-175.00,80
SIS,"3,39,84,000",424.00-432.00,30
SIS,"53,16,187",805.00-815.00,18
AUBANK,"3,76,95,520",355.00-358.00,41
GTPL,"2,02,15,966",167.00-170.00,41
CDSL,"2,48,27,046",145.00-149.00,88
ERIS,"1,59,48,750",145.00-149.00,100
TEJASNET,"1,59,48,750",600.00-603.00,24
PSPPROJECT,"1,71,12,005",250.00-257.00,55
PSPPROJECT,"55,44,000",205.00-210.00,70
HUDCO,"20,40,58,747",56.00-60.00,200
SCHAND,"76,85,284",660.00-670.00,200
SHANKARA,"52,94,467",440.00-460.00,22
CLEDUCATE,"33,32,000",440.00-460.00,32
MTIL,"33,32,000",500.00-502.00,29
DMART,"38,04,000",27.00-30.00,4000
DMART,"4,43,72,882",295.00-299.00,50
RADIOCITY,"1,04,80,784",324.00-333.00,45
BSE,"1,07,99,039",805.00-806.00,45
LAURUSLABS,"2,19,11,308",426.00-428.00,18
MRSSL,"9,43,200",426.00-428.00,35
SFL,"9,43,200",106.00-114.00,1200
GSBPL,"52,50,001",680.00-730.00,20
GSBPL,"1,45,79,560",68.00-76.00,175
VBL,"1,76,50,000",440.00-445.00,33
PNBHF,"2,80,77,500",750.00-775.00,33
ENDURANCE,"1,72,29,118",467.00-472.00,19
DIKSAT,"46,08,000",467.00-472.00,30
HPL,"46,08,000",36.00-40.00,3000
ICICIPRULI,"1,44,40,001",175.00-202.00,70
ICICIPRULI,"13,23,78,973",300.00-334.00,44
GNA,"44,70,000",205.00-207.00,70
LTTS,"72,80,000",850.00-860.00,70
RBLBANK,"3,79,01,919",224.00-225.00,16
SPAL,"65,56,605",224.00-225.00,65
DBL,"65,56,605",258.00-268.00,55
ADVENZYMES ,"2,13,62,138",214.00-219.00,65
ADVENZYMES ,"32,34,059",880.00-896.00,16
LTI,"1,22,50,000",705.00-710.00,20
QUESS,"70,96,774",310.00-317.00,20
MGL,"1,73,46,150",380.00-421.00,45
PARAG,"1,95,06,590",380.00-421.00,35
UJJIVAN,"1,95,06,590",215.00-227.00,65
THYROCARE,"2,96,63,706",207.00-210.00,70
THYROCARE,"75,21,297",420.00-446.00,33
EQUITAS,"13,91,91,802",109.00-110.00,135
INFIBEAM,"1,25,00,000",360.00-432.00,135
BWRL,"1,75,00,000",40.00-45.00,34
HCG,"1,63,90,000",40.00-45.00,300
KPEL,"1,63,90,000",205.00-218.00,65
QH,"9,20,000",60.00-70.00,2000
QH,"1,01,37,557",311.00-321.00,45
TEAMLEASE,"28,92,063",785.00-850.00,15
PCAL,"1,58,67,366",180.00-186.00,15
NH,"1,71,66,309",245.00-250.00,80
ALKEM,"90,87,084",245.00-250.00,60
DRLAL,"90,87,084",1020.00-1050.00,14
KELKAR,"81,20,000",540.00-550.00,20
KELKAR,"2,02,34,342",173.00-180.00,80
INDIGO,"3,01,22,088",700.00-765.00,15
CCD,"2,58,14,198",316.00-328.00,15
PRABHAT,"4,12,07,976",115.00-126.00,45
SADBHIN,"2,85,83,610",115.00-126.00,102
PENPEBS,"2,85,83,610",100.00-103.00,145
SPCFL,"62,95,536",170.00-178.00,80
SPCFL,"1,14,75,410",61.00-65.00,200
NCLIPO,"2,85,71,429",147.00-155.00,95
PMPL,"29,88,300",615.00-640.00,95
SYNGENE,"1,60,00,000",240.00-250.00,20
MANPASA,"75,86,207",240.00-250.00,60
PNCINF,"75,86,207",290.00-320.00,45
UFO,"90,60,197",355.00-378.00,35
UFO,"68,29,269",615.00-625.00,24
MEPIDL,"4,02,89,225",63.00-65.00,225
VRL,"1,62,69,006",195.00-205.00,225
IWLIPO,"2,32,01,121",315.00-325.00,65
AELTD,"1,76,04,092",315.00-325.00,45
,"1,76,04,092",180.00-215.00,65
