Security Type,Symbol,Issue Period,Face Value,Market Lot,BSE Code,ISIN
Equity,LAL,31 Jan 2018 to 06 Feb 2018,10,10000,540952,INE740X01015
Equity,GUJHYSPIN,25 Jan 2018 to 31 Jan 2018,10,10000,540938,INE578V01013
Equity,MEDICO,29 Jan 2018 to 31 Jan 2018,10,1200,540937,INE630Y01024
Equity,GGL,24 Jan 2018 to 30 Jan 2018,10,3000,540936,INE063Z01017
Equity,AML,23 Jan 2018 to 25 Jan 2018,10,6000,#N/A,#N/A
Equity,CRPRML,18 Jan 2018 to 22 Jan 2018,10,2000,#N/A,#N/A
Equity,JFL,29 Dec 2017 to 04 Jan 2018,10,2000,540850,INE841Y01019
Equity,RFMSLTD,29 Dec 2017 to 03 Jan 2018,10,3000,#N/A,#N/A
Equity,DML,11 Dec 2017 to 14 Dec 2017,10,10000,540811,INE158R01012
Equity,TKC,11 Dec 2017 to 14 Dec 2017,10,4000,#N/A,#N/A
Equity,MRCEXIM,06 Dec 2017 to 08 Dec 2017,10,8000,#N/A,#N/A
Equity,DYNAMIC,04 Dec 2017 to 06 Dec 2017,10,3000,#N/A,#N/A
Equity,RATNABHUMI,04 Dec 2017 to 06 Dec 2017,10,2000,540796,INE821Y01011
Equity,SHARIKA,15 Nov 2017 to 17 Nov 2017,10,3000,540786,INE669Y01022
Equity,SANGHVI,10 Nov 2017 to 14 Nov 2017,10,2000,#N/A,#N/A
Equity,SHEETAL,16 Oct 2017 to 18 Oct 2017,10,1600,530525,INE786J01025
Equity,KAARYAFAC,12 Oct 2017 to 17 Oct 2017,10,3000,#N/A,#N/A
Equity,SGRL,28 Sep 2017 to 05 Oct 2017,10,3000,540737,INE414Y01015
Equity,STL,29 Sep 2017 to 05 Oct 2017,10,1000,540738,INE402Y01028
Equity,IRIS,29 Sep 2017 to 04 Oct 2017,10,4000,540735,INE864K01010
Equity,MEHAI,25 Sep 2017 to 28 Sep 2017,10,3000,540730,INE062Y01012
Equity,VANTABIO,25 Sep 2017 to 27 Sep 2017,10,3000,540729,INE695X01011
Equity,POOJA,22 Sep 2017 to 26 Sep 2017,10,3000,540727,INE973X01012
Equity,SISL,21 Sep 2017 to 26 Sep 2017,10,3000,543598,INE0LU301014
Equity,TRIDENT,21 Sep 2017 to 26 Sep 2017,10,4000,521064,INE064C01022
Equity,AKM,20 Sep 2017 to 22 Sep 2017,10,6000,540718,INE777X01017
Equity,NOURITRANS,04 Sep 2017 to 07 Sep 2017,10,4000,#N/A,#N/A
Equity,AMFL,01 Sep 2017 to 06 Sep 2017,10,8000,#N/A,#N/A
Equity,DWL,31 Aug 2017 to 04 Sep 2017,10,6000,540695,INE109Y01011
Equity,ANG,29 Aug 2017 to 31 Aug 2017,10,1600,540694,INE236W01016
Equity,SHISHIND,23 Aug 2017 to 28 Aug 2017,10,4000,540693,INE145Y01015
Equity,AMML,07 Aug 2017 to 11 Aug 2017,10,10000,#N/A,#N/A
Equity,GSTL,26 Jul 2017 to 28 Jul 2017,10,2000,540654,INE632W01016
Equity,CTCL,20 Jul 2017 to 24 Jul 2017,10,3000,540652,INE931X01010
Equity,JIGAR,18 Jul 2017 to 20 Jul 2017,10,4000,540651,INE943X01015
Equity,SALASAR,12 Jul 2017 to 17 Jul 2017,10,125,540642,INE170V01027
Equity,7NR,05 Jul 2017 to 10 Jul 2017,10,4000,540615,INE413X01035
Equity,GGENG,30 Jun 2017 to 07 Jul 2017,10,6000,540614,INE694X01030
Equity,GEL,29 Jun 2017 to 03 Jul 2017,10,3000,540613,INE721X01015
Equity,RIDDICORP,12 Jun 2017 to 15 Jun 2017,10,1000,#N/A,#N/A
Equity,YUG,18 May 2017 to 23 May 2017,10,4000,540550,INE796W01019
Equity,BHAKTI,17 May 2017 to 22 May 2017,10,6000,#N/A,#N/A
Equity,MEERA,27 Apr 2017 to 04 May 2017,10,3000,540519,INE343X01018
Equity,PGL,26 Apr 2017 to 28 Apr 2017,10,10000,#N/A,#N/A
Equity,KMS,12 Apr 2017 to 17 Apr 2017,10,4000,#N/A,#N/A
Equity,ESCORP,31 Mar 2017 to 06 Apr 2017,10,8000,540455,INE953W01016
Equity,OCTAWARE,17 Mar 2017 to 24 Mar 2017,10,1600,540416,INE208U01019
